// gr-dict 1.0
// Unidirectional mapping of different dialect words to their Australian spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// l => ll (in word forms)

straw-colored ~ straw-coloured
succor ~ succour
succored ~ succoured
succoring ~ succouring
succors ~ succours
tawny-colored ~ tawny-coloured
technicolor ~ technicolour
technicolored ~ technicoloured
topcolor ~ topcolour
tricolor ~ tricolour
tricolored ~ tricoloured
tricolorous ~ tricolourous
tricolors ~ tricolours
tumor ~ tumour
tumors ~ tumours
uncolorable ~ uncolourable
uncolored ~ uncoloured
uncolorful ~ uncolourful
unfavorable ~ unfavourable
unfavorably ~ unfavourably
unicolor ~ unicolour
unicolorous ~ unicolourous
unsavory ~ unsavoury
valor ~ valour
vapor ~ vapour
vapored ~ vapoured
vaporing ~ vapouring
vapors ~ vapours
varicolored ~ varicoloured
versicolored ~ versicoloured
vigor ~ vigour
violet-colored ~ violet-coloured
water-color ~ water-colour
watercolor ~ watercolour
watercolored ~ watercoloured
watercolorist ~ watercolourist
watercolorists ~ watercolourists
watercolors ~ watercolours
wine-colored ~ wine-coloured

// er => re

accouterment ~ accoutrement
accouterments ~ accoutrements
amphitheater ~ amphitheatre
amphitheaters ~ amphitheatres
caliber ~ calibre
calibers ~ calibres
center ~ centre
centerboard ~ centreboard
centerfold ~ centrefold
centerfolds ~ centrefolds
centerpiece ~ centrepiece
centerpieces ~ centrepieces
centers ~ centres
centiliter ~ centilitre
centiliters ~ centilitres
centimeter ~ centimetre
centimeters ~ centimetres
epicenter ~ epicentre
epicenters ~ epicentres
fiber ~ fibre
fiberglass ~ fibreglass
fibers ~ fibres
goiter ~ goitre
goiters ~ goitres
kilometer ~ kilometre
kilometers ~ kilometres
lackluster ~ lacklustre
liter ~ litre
liters ~ litres
louver ~ louvre
louvers ~ louvres
luster ~ lustre
lusters ~ lustres
meager ~ meagre
metacenter ~ metacentre
metacenters ~ metacentres
micrometer ~ micrometre
micrometers ~ micrometres
milliliter ~ millilitre
milliliters ~ millilitres
millimeter ~ millimetre
millimeters ~ millimetres
miter ~ mitre
miters ~ mitres
niter ~ nitre
philter ~ philtre
philters ~ philtres
reconnoiter ~ reconnoitre
reconnoiters ~ reconnoitres
saber ~ sabre
sabers ~ sabres
saltpeter ~ saltpetre
scepter ~ sceptre
scepters ~ sceptres
sepulcher ~ sepulchre
sepulchers ~ sepulchres
somber ~ sombre
specter ~ spectre
specters ~ spectres
theater ~ theatre
theatergoer ~ theatregoer
theatergoers ~ theatregoers
theaters ~ theatres

// se => ce

defense ~ defence
defenseless ~ defenceless
defenses ~ defences
offense ~ offence
offenses ~ offences
pretense ~ pretence
pretenses ~ pretences
vise ~ vice
vises ~ vices

// f => ph

bisulfate ~ bisulphate
bisulfates ~ bisulphates
bisulfite ~ bisulphite
bisulfites ~ bisulphites
disulfide ~ disulphide
disulfides ~ disulphides
hydrosulfite ~ hydrosulphite
hydrosulfites ~ hydrosulphites
pyrosulfite ~ pyrosulphite
pyrosulfites ~ pyrosulphites
sulfate ~ sulphate
sulfated ~ sulphated
sulfates ~ sulphates
sulfating ~ sulphating
sulfide ~ sulphide
sulfides ~ sulphides
sulfite ~ sulphite
sulfites ~ sulphites
sulfur ~ sulphur
sulfured ~ sulphured
sulfuring ~ sulphuring
sulfurous ~ sulphurous
sulfurs ~ sulphurs

// silent e

ax ~ axe
battleax ~ battleaxe
furor ~ furore
furors ~ furores

// g => gue

//analogs ~ analogues
catalog ~ catalogue
cataloged ~ catalogued
cataloging ~ cataloguing
catalogs ~ catalogues
dialog ~ dialogue
dialogs ~ dialogues
epilog ~ epilogue
epilogs ~ epilogues
monolog ~ monologue
monologs ~ monologues
prolog ~ prologue
prologs ~ prologues
travelog ~ travelogue
travelogs ~ travelogues

// ll => l in lexemes

appall ~ appal
appalls ~ appals
distill ~ distil
distills ~ distils
enroll ~ enrol
enrolls ~ enrols
ensorcell ~ ensorcel
ensorcelled ~ ensorceled
ensorcelling ~ ensorceling
ensorcells ~ ensorcels
enthrall ~ enthral
enthralls ~ enthrals
fulfill ~ fulfil
fulfillment ~ fulfilment
fulfills ~ fulfils
installment ~ instalment
installments ~ instalments
instill ~ instil
instills ~ instils
skillful ~ skilful

// other

afterward ~ afterwards
airplane ~ aeroplane
airplanes ~ aeroplanes
aluminum ~ aluminium
ambiance ~ ambience
ambiances ~ ambiences
apothegm ~ apophthegm
apothegms ~ apophthegms
archepiscopal ~ archiepiscopal
behoove ~ behove
behooved ~ behoved
behooves ~ behoves
behooving ~ behoving
carburetor ~ carburettor
carburetors ~ carburettors
centered ~ centred
centering ~ centring
centerings ~ centrings
checkbook ~ chequebook
checkbooks ~ chequebooks
collonaded ~ colonnaded
donut ~ doughnut
donuts ~ doughnuts
doodad ~ doodah
doodads ~ doodahs
epaulet ~ epaulette
epaulets ~ epaulettes
flutist ~ flautist
flutists ~ flautists
gantlet ~ gauntlet
gantlets ~ gauntlets
goloshes ~ galoshes
gray ~ grey
grayed ~ greyed
