// gr-dict 1.0
// Unidirectional mapping of different dialect words to their Canadian spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// o => ou (color => colour, mold => mould)

haemocyanin ~ hemocyanin
haemocyte ~ hemocyte
haemocytes ~ hemocytes
haemocytometer ~ hemocytometer
haemodialyses ~ hemodialyses
haemodialysis ~ hemodialysis
haemodynamic ~ hemodynamic
haemodynamically ~ hemodynamically
haemodynamics ~ hemodynamics
haemogenic ~ hemogenic
haemoglobin ~ hemoglobin
haemoglobinopathies ~ hemoglobinopathies
haemoglobinopathy ~ hemoglobinopathy
haemoglobins ~ hemoglobins
haemoglobinuria ~ hemoglobinuria
haemoglobinurias ~ hemoglobinurias
haemolymph ~ hemolymph
haemolysate ~ hemolysate
haemolysin ~ hemolysin
haemolysins ~ hemolysins
haemolysis ~ hemolysis
haemolytic ~ hemolytic
haemophilia ~ hemophilia
haemophiliac ~ hemophiliac
haemophiliacs ~ hemophiliacs
haemophilic ~ hemophilic
haemophobia ~ hemophobia
haemopoiesis ~ hemopoiesis
haemopoietic ~ hemopoietic
haemoprotein ~ hemoprotein
haemoproteins ~ hemoproteins
haemoptysis ~ hemoptysis
haemorrhage ~ hemorrhage
haemorrhaged ~ hemorrhaged
haemorrhages ~ hemorrhages
haemorrhagic ~ hemorrhagic
haemorrhaging ~ hemorrhaging
haemorrhoid ~ hemorrhoid
haemorrhoids ~ hemorrhoids
haemostasis ~ hemostasis
haemostat ~ hemostat
haemostatic ~ hemostatic
haemostats ~ hemostats
haemotoxylin ~ hemotoxylin
haemozoin ~ hemozoin
histidinaemia ~ histidinemia
homoeopath ~ homeopath
homoeopathic ~ homeopathic
homoeopaths ~ homeopaths
homoeopathy ~ homeopathy
homoeostasis ~ homeostasis
hydraemia ~ hydremia
hyperaemia ~ hyperemia
hyperbilirubinaemia ~ hyperbilirubinemia
hypercalcaemia ~ hypercalcemia
hypercholesteraemia ~ hypercholesteremia
hypercholesterolaemia ~ hypercholesterolemia
hyperglycaemia ~ hyperglycemia
hyperhomocysteinaemia ~ hyperhomocysteinemia
hyperinsulinaemia ~ hyperinsulinemia
hyperkalaemia ~ hyperkalemia
hyperlipidaemia ~ hyperlipidemia
hyperlipoproteinaemia ~ hyperlipoproteinemia
hyperprolactinaemia ~ hyperprolactinemia
hypertriglyceridaemia ~ hypertriglyceridemia
hyperuricaemia ~ hyperuricemia
hypervolaemia ~ hypervolemia
hypoalbuminaemia ~ hypoalbuminemia
hypocalcaemia ~ hypocalcemia
hypogammaglobulinaemia ~ hypogammaglobulinemia
hypoglycaemia ~ hypoglycemia
hypoinsulinaemia ~ hypoinsulinemia
hypomagnesaemia ~ hypomagnesemia
hyponatraemia ~ hyponatremia
hypophosphataemia ~ hypophosphatemia
hypouricaemia ~ hypouricemia
hypoxaemia ~ hypoxemia
insulinaemia ~ insulinemia
ischaemia ~ ischemia
ketonaemia ~ ketonemia
leukaemia ~ leukemia
leukaemias ~ leukemias
leukaemic ~ leukemic
leukaemogenesis ~ leukemogenesis
macroglobulinaemia ~ macroglobulinemia
mediaeval ~ medieval
mediaevals ~ medievals
menorrhoea ~ menorrhea
methaemoglobin ~ methemoglobin
methaemoglobinaemia ~ methemoglobinaemia
methemoglobinaemia ~ methemoglobinemia
natraemia ~ natremia
nonhaemolytic ~ nonhemolytic
normokalaemia ~ normokalemia
oedema ~ edema
oedemata ~ edemata
oenology ~ enology
oesophagoscope ~ esophagoscope
oesophagus ~ esophagus
oestrogen ~ estrogen
oestrogens ~ estrogens
oestrous ~ estrous
orthopaedic ~ orthopedic
orthopaedics ~ orthopedics
oxyhaemoglobin ~ oxyhemoglobin
paedagogies ~ pedagogies
paedagogy ~ pedagogy
paederast ~ pederast
paederasts ~ pederasts
paediatric ~ pediatric
paediatrician ~ pediatrician
paediatricians ~ pediatricians
paediatrics ~ pediatrics
paedophile ~ pedophile
paedophiles ~ pedophiles
paedophilia ~ pedophilia
palaeobotany ~ paleobotany
palaeocene ~ paleocene
palaeoclimatology ~ paleoclimatology
palaeogeography ~ paleogeography
palaeographies ~ paleographies
palaeography ~ paleography
palaeolithic ~ paleolithic
palaeomagnetism ~ paleomagnetism
palaeontologist ~ paleontologist
palaeontologists ~ paleontologists
palaeontology ~ paleontology
palaeozoic ~ paleozoic
parasitaemia ~ parasitemia
pharmacopoeia ~ pharmacopeia
pharmacopoeias ~ pharmacopeias
polycythaemia ~ polycythemia
praesidium ~ presidium
praesidiums ~ presidiums
primaeval ~ primeval
pyaemia ~ pyemia
septicaemia ~ septicemia
thalassaemia ~ thalassemia
toxaemia ~ toxemia
toxaemias ~ toxemias
tyrosinaemia ~ tyrosinemia
uraemia ~ uremia
viraemia ~ viremia

// f => ph

bisulfate ~ bisulphate
bisulfates ~ bisulphates
bisulfite ~ bisulphite
bisulfites ~ bisulphites
disulfide ~ disulphide
disulfides ~ disulphides
hydrosulfite ~ hydrosulphite
