// gr-dict 1.0
// Unidirectional mapping of different dialect words to their American spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// ou => o (colour => color, mould => mold)

varicoloured ~ varicolored
vavasour ~ vavasor
vavasours ~ vavasors
versicolour ~ versicolor
versicoloured ~ versicolored
vigour ~ vigor
violet-coloured ~ violet-colored
water-colour ~ water-color
watercolour ~ watercolor
watercoloured ~ watercolored
watercolourist ~ watercolorist
watercolourists ~ watercolorists
watercolours ~ watercolors
wine-coloured ~ wine-colored

// re => er

accoutrement ~ accouterment
accoutrements ~ accouterments
amphitheatre ~ amphitheater
amphitheatres ~ amphitheaters
calibre ~ caliber
calibres ~ calibers
centilitre ~ centiliter
centilitres ~ centiliters
centimetre ~ centimeter
centimetres ~ centimeters
centre ~ center
centreboard ~ centerboard
centrefold ~ centerfold
centrefolds ~ centerfolds
centrepiece ~ centerpiece
centrepieces ~ centerpieces
centres ~ centers
epicentre ~ epicenter
epicentres ~ epicenters
fibre ~ fiber
fibreglass ~ fiberglass
fibres ~ fibers
goitre ~ goiter
goitres ~ goiters
kilometre ~ kilometer
kilometres ~ kilometers
lacklustre ~ lackluster
litre ~ liter
litres ~ liters
louvre ~ louver
louvres ~ louvers
lustre ~ luster
lustres ~ lusters
meagre ~ meager
metacentre ~ metacenter
metacentres ~ metacenters
metre ~ meter
metres ~ meters
micrometre ~ micrometer
micrometres ~ micrometers
millilitre ~ milliliter
millilitres ~ milliliters
millimetre ~ millimeter
millimetres ~ millimeters
mitre ~ miter
mitres ~ miters
nitre ~ niter
philtre ~ philter
philtres ~ philters
reconnoitre ~ reconnoiter
reconnoitres ~ reconnoiters
sabre ~ saber
sabres ~ sabers
saltpetre ~ saltpeter
sceptre ~ scepter
sceptres ~ scepters
sepulchre ~ sepulcher
sepulchres ~ sepulchers
sombre ~ somber
spectre ~ specter
spectres ~ specters
theatregoer ~ theatergoer
theatregoers ~ theatergoers
