// gr-dict 1.0
// Unidirectional transformation from British spelled words to their American
// counterparts. Note that this dictionary doesn't allow for 100% reliable
// tranformation as it doesn't contain many compound words.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

snivelled ~ sniveled
smoulders ~ smolders
smouldering ~ smoldering
smouldered ~ smoldered
smoulder ~ smolder
sledges ~ sleds
sledgings ~ sleddings
sledging ~ sledding
sledged ~ sledded
sledge ~ sled
skilful ~ skillful
sceptics ~ skeptics
scepticists ~ skepticists
scepticist ~ skepticist
scepticisms ~ skepticisms
scepticism ~ skepticism
sceptically ~ skeptically
sceptical ~ skeptical
sceptic ~ skeptic
syphons ~ siphons
syphoning ~ siphoning
syphoned ~ siphoned
syphon ~ siphon
signalising ~ signalizing
signalises ~ signalizes
signalised ~ signalized
signalise ~ signalize
signallings ~ signalings
signalling ~ signaling
signalled ~ signaled
shrivelling ~ shriveling
shrivelled ~ shriveled
shovelling ~ shoveling
shovelled ~ shoveled
shoppes ~ shops
shoppe ~ shop
sheikhs ~ sheiks
sheikh ~ sheik
//sermonisings sermonizings
sermonising ~ sermonizing
sermonises ~ sermonizes
sermonised ~ sermonized
sermonise ~ sermonize
serialising ~ serializing
serialises ~ serializes
serialised ~ serialized
serialise ~ serialize
serialisations ~ serializations
serialisation ~ serialization
serjeants ~ sergeants
serjeant ~ sergeant
sepulchres ~ sepulchers
sepulchring ~ sepulchering
sepulchred ~ sepulchered
sepulchre ~ sepulcher
sentimentalising ~ sentimentalizing
sentimentalises ~ sentimentalizes
sentimentalised ~ sentimentalized
sentimentalise ~ sentimentalize
sensitising ~ sensitizing
sensitises ~ sensitizes
sensitised ~ sensitized
sensitise ~ sensitize
sensationalising ~ sensationalizing
sensationalises ~ sensationalizes
sensationalised ~ sensationalized
sensationalise ~ sensationalize
selvedges ~ selvages
selvedge ~ selvage
secularising ~ secularizing
secularises ~ secularizes
secularised ~ secularized
secularise ~ secularize
secularisations ~ secularizations
secularisation ~ secularization
scrutinising ~ scrutinizing
scrutinises ~ scrutinizes
scrutinised ~ scrutinized
scrutinise ~ scrutinize
sceptres ~ scepters
sceptring ~ sceptering
sceptred ~ sceptered
sceptre ~ scepter
scandalising ~ scandalizing
scandalises ~ scandalizes
scandalised ~ scandalized
scandalise ~ scandalize
savoury ~ savory
savours ~ savors
savouring ~ savoring
savouries ~ savories
savoured ~ savored
savour ~ savor
saviours ~ saviors
saviour ~ savior
satirising ~ satirizing
satirises ~ satirizes
satirised ~ satirized
satirise ~ satirize
sanitising ~ sanitizing
sanitises ~ sanitizes
sanitisers ~ sanitizers
sanitiser ~ sanitizer
sanitised ~ sanitized
sanitise ~ sanitize
saltpetre ~ saltpeter
sabres ~ sabers
sabre ~ saber
rumours ~ rumors
rumouring ~ rumoring
rumoured ~ rumored
rumour ~ rumor
routeings ~ routings
routeing ~ routing
romanticising ~ romanticizing
romanticises ~ romanticizes
romanticised ~ romanticized
romanticise ~ romanticize
rivalling ~ rivaling
rivalled ~ rivaled
ritualising ~ ritualizing
ritualises ~ ritualizes
ritualised ~ ritualized
ritualise ~ ritualize
rigours ~ rigors
rigour ~ rigor
rhapsodising ~ rhapsodizing
rhapsodises ~ rhapsodizes
rhapsodised ~ rhapsodized
rhapsodise ~ rhapsodize
revolutionising ~ revolutionizing
revolutionises ~ revolutionizes
revolutionised ~ revolutionized
revolutionise ~ revolutionize
revitalising ~ revitalizing
revitalises ~ revitalizes
revitalised ~ revitalized
revitalise ~ revitalize
revelling ~ reveling
revellers ~ revelers
reveller ~ reveler
revelled ~ reveled
retroflexions ~ retroflections
retroflexion ~ retroflection
reorganising ~ reorganizing
reorganises ~ reorganizes
reorganised ~ reorganized
reorganise ~ reorganize
reorganisations ~ reorganizations
reorganisation ~ reorganization
remoulds ~ remolds
remoulding ~ remolding
remoulded ~ remolded
remould ~ remold
remodellings ~ remodelings
remodelling ~ remodeling
remodelled ~ remodeled
regularising ~ regularizing
regularises ~ regularizes
regularised ~ regularized
regularise ~ regularize
regularisations ~ regularizations
regularisation ~ regularization
refuellings ~ refuelings
refuelling ~ refueling
refuelled ~ refueled
reconnoitres ~ reconnoiters
reconnoitrings ~ reconnoiterings
reconnoitring ~ reconnoitering
reconnoitred ~ reconnoitered
reconnoitre ~ reconnoiter
recognising ~ recognizing
recognises ~ recognizes
recognised ~ recognized
recognise ~ recognize
recognisances ~ recognizances
recognisance ~ recognizance
recognisably ~ recognizably
recognisable ~ recognizable
realising ~ realizing
realises ~ realizes
realised ~ realized
realise ~ realize
realisations ~ realizations
realisation ~ realization
realisable ~ realizable
ravelling ~ raveling
ravelled ~ raveled
rationalising ~ rationalizing
rationalises ~ rationalizes
rationalised ~ rationalized
rationalise ~ rationalize
rationalisations ~ rationalizations
rationalisation ~ rationalization
randomising ~ randomizing
randomises ~ randomizes
randomised ~ randomized
randomise ~ randomize
rancour ~ rancor
radicalising ~ radicalizing
radicalises ~ radicalizes
radicalised ~ radicalized
radicalise ~ radicalize
racoons ~ raccoons
racoon ~ raccoon
quarrelling ~ quarreling
quarrelled ~ quarreled
//pummelleds pummels
//pummelledings pummelings
//pummelleding pummeling
//pummelling pummeled
//pummelled pummel
pulverising ~ pulverizing
pulverises ~ pulverizes
pulverised ~ pulverized
pulverise ~ pulverize
pulverisation ~ pulverization
publicising ~ publicizing
publicises ~ publicizes
publicised ~ publicized
publicise ~ publicize
