// gr-dict 1.0
// Unidirectional transformation from American-spelled words to their British
// counterparts. Note that this dictionary doesn't allow for 100% reliable
// tranformation as it doesn't contain many compound words.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

plowman ~ ploughman
plowing ~ ploughing
plowed ~ ploughed
plow ~ plough
plasticizers ~ plasticisers
plasticizer ~ plasticiser
plagiarizing ~ plagiarising
plagiarizes ~ plagiarises
plagiarized ~ plagiarised
plagiarize ~ plagiarise
phony ~ phoney
philters ~ philtres
philtering ~ philtring
philtered ~ philtred
philter ~ philtre
philosophizing ~ philosophising
philosophizes ~ philosophises
philosophized ~ philosophised
philosophize ~ philosophise
pharmacopeias ~ pharmacopoeias
pharmacopeia ~ pharmacopoeia
personalizing ~ personalising
personalizes ~ personalises
personalized ~ personalised
personalize ~ personalise
persnickety ~ pernickety
penciling ~ pencilling
penciled ~ pencilled
penalizing ~ penalising
penalizes ~ penalises
penalized ~ penalised
penalize ~ penalise
//pedophilias paedophilias
pedophilia ~ paedophilia
pedophiles ~ paedophiles
pedophile ~ paedophile
pediatrics ~ paediatrics
pediatricians ~ paediatricians
pediatrician ~ paediatrician
pediatric ~ paediatric
pedestrianizing ~ pedestrianising
pedestrianizes ~ pedestrianises
pedestrianized ~ pedestrianised
pedestrianize ~ pedestrianise
pedestrianization ~ pedestrianisation
pederasts ~ paederasts
pederast ~ paederast
pedaling ~ pedalling
pedaled ~ pedalled
patronizingly ~ patronisingly
patronizing ~ patronising
patronizes ~ patronises
patronized ~ patronised
patronize ~ patronise
pasteurizing ~ pasteurising
pasteurizes ~ pasteurises
pasteurized ~ pasteurised
pasteurize ~ pasteurise
pasteurization ~ pasteurisation
passivizing ~ passivising
passivizes ~ passivises
passivized ~ passivised
passivize ~ passivise
passivizations ~ passivisations
passivization ~ passivisation
particularizing ~ particularising
particularizes ~ particularises
particularized ~ particularised
particularize ~ particularise
parlors ~ parlours
parlor ~ parlour
parceling ~ parcelling
parceled ~ parcelled
//paralyzis paralysis
paralyzing ~ paralysing
paralyzes ~ paralyses
paralyzed ~ paralysed
paralyze ~ paralyse
//pantyhoses panti-hoses
//pantyhose panti-hose
panelists ~ panellists
panelist ~ panellist
paneling ~ panelling
paneled ~ panelled
paleozoic ~ palaeozoic
paleontology ~ palaeontology
paleontologists ~ palaeontologists
paleontologist ~ palaeontologist
paleomagnetism ~ palaeomagnetism
paleolithic ~ palaeolithic
paleography ~ palaeography
paleographies ~ palaeographies
paleogeography ~ palaeogeography
paleoclimatology ~ palaeoclimatology
paleocene ~ palaeocene
paleobotany ~ palaeobotany
pajamas ~ pyjamas
pajama ~ pyjama
ozonizing ~ ozonising
ozonizes ~ ozonises
ozonized ~ ozonised
ozonize ~ ozonise
oxidizing ~ oxidising
oxidizes ~ oxidises
oxidized ~ oxidised
oxidize ~ oxidise
oxidization ~ oxidisation
overemphasizing ~ overemphasising
overemphasizes ~ overemphasises
overemphasized ~ overemphasised
overemphasize ~ overemphasise
outmaneuvers ~ outmanoeuvres
outmaneuvering ~ outmanoeuvring
outmaneuvered ~ outmanoeuvred
outmaneuver ~ outmanoeuvre
ostracizing ~ ostracising
ostracizes ~ ostracises
ostracized ~ ostracised
ostracize ~ ostracise
orthopedics ~ orthopaedics
orthopedic ~ orthopaedic
organizing ~ organising
organizes ~ organises
organizers ~ organisers
organizer ~ organiser
organized ~ organised
organize ~ organise
organizations ~ organisations
organizational ~ organisational
organization ~ organisation
optimizing ~ optimising
optimizes ~ optimises
optimized ~ optimised
optimize ~ optimise
optimization ~ optimisation
optimizations ~ optimisations
omelets ~ omelettes
omelet ~ omelette
offenses ~ offences
offense ~ offence
odors ~ odours
odorless ~ odourless
odor ~ odour
//octagonal octogonal
northwests ~ north-wests
northwest ~ north-west
northeasts ~ north-easts
normalizing ~ normalising
normalizes ~ normalises
normalized ~ normalised
normalize ~ normalise
normalizations ~ normalisations
normalization ~ normalisation
niter ~ nitre
neutralizing ~ neutralising
neutralizes ~ neutralises
neutralized ~ neutralised
neutralize ~ neutralise
neutralization ~ neutralisation
